timestamp,temperature,pressure,shift,cycle_time,lag_1,rolling_mean_3,prediction,residual,anomaly
2024-01-01 00:02:00,33.23844269050346,3.6014324261808586,0,47.84120315769858,52.17522365526295,49.15037056437859,47.96851749417475,0.12731433647616797,False
2024-01-01 00:03:00,37.61514928204013,5.562969236690571,1,55.2333083433816,47.84120315769858,51.74991171878105,57.71197839123011,2.47867004784851,False
2024-01-01 00:04:00,28.829233126383322,4.3493574308781735,0,44.30798150717122,55.2333083433816,49.12749766941713,44.53046886466784,0.2224873574966182,False
2024-01-01 00:05:00,28.8293152152541,4.512874616235304,0,45.150048230276056,44.30798150717122,48.23044602694296,46.85672408336414,1.7066758530880861,False
2024-01-01 00:06:00,37.896064077536955,4.407606075761131,0,51.41457140268098,45.150048230276056,46.95753371337609,51.017819617635844,0.396751785045133,False
2024-01-01 00:07:00,33.837173645764544,4.136009230320184,0,48.1509222990194,51.41457140268098,48.238513977325475,47.8484626783828,0.30245962063659704,False
2024-01-01 00:08:00,27.65262807032524,5.048521627944827,1,46.71811908064668,48.1509222990194,48.76120426078236,48.9320230054727,2.2139039248260204,False
2024-01-01 00:09:00,32.712800217929825,4.169049883588962,0,45.84443833924196,46.71811908064668,46.90449323963602,47.34672754720623,1.5022892079642673,False
2024-01-01 00:10:00,27.682911535937688,5.2704568257798385,1,45.34111868515076,45.84443833924196,45.967892035013136,47.23875176560578,1.8976330804550159,False
2024-01-01 00:11:00,27.671351232148716,4.949761890550863,0,46.63623447209285,45.34111868515076,45.940597165495184,43.96922598437287,2.6670084877199827,False
2024-01-01 00:12:00,31.20981135783017,4.76105195313359,0,43.48012261548157,46.63623447209285,45.15249192424173,45.04857144754038,1.568448832058813,False
2024-01-01 00:13:00,20.43359877671101,4.092436337958402,0,35.96106862577699,43.48012261548157,42.02580857111713,36.605603128621766,0.6445345028447775,False
2024-01-01 00:14:00,21.375410837434835,4.423228669431667,1,41.663514138809475,35.96106862577699,40.36823512668935,41.25101427104948,0.4124998677599976,False
2024-01-01 00:15:00,27.188562353795135,5.755391225825756,0,44.54069863692499,41.663514138809475,40.72176046717049,40.362384438004675,4.178314198920319,False
